user_id,category_id,ads
144,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
144,887,"[2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036, 2041846, 2759120]"
146,815,"[2867504, 2867504, 2687694, 2856637, 2182890, 2347424, 2726025, 2366751, 2733931, 1193468]"
148,881,"[2816864, 2652322, 2723765, 2751205, 2681250, 2757853, 2662331, 2654862, 2426206, 2589273]"
149,815,"[2795646, 2812343, 2117495, 2512617, 2526595, 2526595, 2316191, 2316191, 2691163, 2820770]"
149,888,"[2622909, 2201079, 2810486, 2810486, 2564847, 2685855, 2722196, 653815, 2762073, 2762073]"
156,800,"[2806603, 2818304, 2816630, 2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959]"
161,853,"[2800843, 1718616, 1718616, 2087419, 2384662, 2384662, 1761300, 2005563, 2005563, 1803991]"
161,811,"[2727592, 2727592, 2727592, 2764838, 2626729, 2597250, 2746309, 2685325, 2783350, 2226048]"
162,800,"[2655030, 1526303, 2855594, 2032534, 429405, 651293, 986456, 2865879, 2865879, 2844876]"
162,853,"[2812025, 2797992, 2805116, 2763550, 2772345, 2873067, 2873067, 2873067, 2873067, 2873067]"
165,881,"[2816864, 2652322, 2723765, 2751205, 2681250, 2757853, 2662331, 2654862, 2426206, 2589273]"
165,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
165,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
168,815,"[2847016, 2811512, 2803080, 761596, 2697608, 2697608, 2347424, 2726025, 2366751, 2733931]"
169,806,"[1630713, 1630713, 1122997, 491005, 2622431, 2265375, 2516918, 2246912, 2665325, 26400]"
173,806,"[1551449, 1551449, 2090399, 2090399, 2090399, 2090399, 2090399, 2090399, 2677479, 2850507]"
174,800,"[2761623, 2153625, 2153625, 2285884, 2750486, 2093371, 254699, 1039696, 2814436, 2767097]"
183,800,"[2811213, 2851480, 2796751, 2733750, 2717135, 2717135, 2717135, 2706652, 2706652, 2706652]"
184,815,"[2442631, 2442631, 2814432, 2442618, 921685, 921685, 2867054, 2872164, 2744055, 2872140]"
186,800,"[2053233, 2749959, 2734060, 2104959, 2710449, 454903, 2041045, 1560380, 2764620, 2734060]"
186,853,"[1555127, 2626491, 2774269, 2679481, 2797319, 2411510, 2651898, 2700922, 2853382, 1190194]"
186,815,"[1994752, 2383471, 2651445, 2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999]"
188,815,"[2866392, 2830220, 2496938, 2403332, 2166400, 2075000, 2113661, 2501634, 2501634, 2540152]"
192,887,"[2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036, 2041846, 2759120]"
192,888,"[2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361, 2556302, 2732903, 2585978]"
195,806,"[2804693, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465]"
203,800,"[2733490, 1516802, 2645546, 2606698, 2683374, 1267558, 2025739, 2814436, 2767097, 2587040]"
205,362,"[2155129, 2828517, 2853312, 2800593, 2829222, 2563979, 2796468, 2804639, 2811185, 2314777]"
205,800,"[484097, 2803121, 2339757, 2339757, 2339757, 2339757, 2435652, 2154828, 2664024, 484097]"
207,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
210,811,"[2456853, 2456853, 2617208, 2617208, 1960105, 2283379, 1130043, 2164255, 1777790, 1802517]"
210,800,"[2194211, 2194211, 2194211, 2008037, 1773631, 1978110, 2089001, 2194211, 2194211, 1773631]"
213,806,"[2700623, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465]"
214,806,"[2646928, 2348895, 2850634, 1396379, 1346405, 2489425, 2689693, 2800707, 2779192, 725947]"
215,815,"[2051433, 2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387]"
220,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
231,800,"[2173994, 2823571, 2823571, 2842810, 2823571, 2823571, 2823571, 2823571, 2403670, 2344486]"
234,815,"[1759305, 2672841, 2442179, 2424741, 2609395, 2770621, 1344660, 2687654, 851746, 2138154]"
234,853,"[2781164, 2810212, 2045295, 1994190, 1783018, 1613733, 1659707, 2722939, 2722939, 2722939]"
238,888,"[2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361, 2556302, 2732903, 2585978]"
238,806,"[2679443, 2564901, 1306767, 2602122, 2661567, 2704380, 2707060, 2456130, 2265375, 2516918]"
245,888,"[2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361, 2556302, 2732903, 2585978]"
249,806,"[2762457, 2766303, 2453028, 1042688, 2265375, 2516918, 2246912, 2665325, 26400, 2140749]"
249,815,"[2659770, 2576933, 2839628, 2849354, 2832940, 2832940, 2817559, 2825725, 2828307, 2563626]"
253,362,"[378873, 1804380, 1712278, 2179926, 2606976, 2598159, 2449079, 1618592, 2545960, 2761167]"
253,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
253,888,"[2751469, 2151068, 1280096, 2481168, 2605835, 742611, 2470672, 2254453, 2740665, 2627676]"
256,800,"[2231344, 2830238, 2739908, 2317668, 2814436, 2767097, 2587040, 2812516, 2002760, 2606594]"
259,800,"[2739295, 2699278, 2711631, 2586507, 2820406, 2872383, 2838117, 2850280, 2030107, 2030107]"
269,815,"[2682775, 688871, 298623, 2862696, 2858790, 2858191, 2678012, 2852786, 1701401, 2651166]"
269,362,"[1275454, 1275840, 2520700, 2776180, 2696406, 1675331, 2802434, 1584381, 2760807, 2776180]"
269,800,"[2868019, 2868019, 2868019, 2860657, 2860657, 2859551, 2859551, 2844421, 2856032, 2850519]"
270,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
274,800,"[2506528, 2769430, 2712356, 2713651, 2254786, 2636336, 2814436, 2767097, 2587040, 2812516]"
277,815,"[2591129, 2862380, 2864657, 2864657, 2863272, 2838109, 2321885, 2859171, 1439585, 2859606]"
278,881,"[2816864, 2652322, 2723765, 2751205, 2681250, 2757853, 2662331, 2654862, 2426206, 2589273]"
279,853,"[1604471, 2595929, 2595929, 2866527, 2595929, 2842080, 2843445, 2842104, 2665922, 1992498]"
279,815,"[2858191, 2850814, 2749478, 2763464, 2696948, 2817142, 2817142, 2817142, 2824699, 2824150]"
280,888,"[2857420, 2844124, 2863743, 658965, 2254453, 2740665, 2627676, 2627699, 2530318, 1725410]"
280,806,"[2845364, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465]"
280,800,"[2751717, 1524996, 1582319, 2813608, 2813608, 2748528, 2713273, 2405955, 2770802, 2545340]"
283,888,"[2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361, 2556302, 2732903, 2585978]"
283,815,"[2832940, 2740414, 2738984, 2632406, 2632406, 2632406, 2347424, 2726025, 2366751, 2733931]"
283,806,"[2809690, 2777353, 2612208, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459]"
287,362,"[2598159, 2449079, 1618592, 2545960, 2761167, 333573, 2268784, 1704736, 2110788, 2836886]"
291,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
293,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
295,815,"[2234932, 2361455, 2650456, 2662905, 2830914, 2680210, 2845090, 2838374, 2078932, 2815310]"
297,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
299,887,"[2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036, 2041846, 2759120]"
305,806,"[2865886, 2825455, 2794584, 2809690, 2687677, 2794584, 2794584, 2796998, 2276159, 946145]"
310,815,"[2840992, 2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387]"
310,811,"[2764838, 2626729, 2597250, 2746309, 2685325, 2783350, 2226048, 2164561, 2782336, 2262185]"
316,806,"[2615093, 2615093, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691]"
317,853,"[2774269, 2679481, 2797319, 2411510, 2651898, 2700922, 2853382, 1190194, 2677510, 2259584]"
317,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
317,887,"[2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036, 2041846, 2759120]"
317,881,"[2816864, 2652322, 2723765, 2751205, 2681250, 2757853, 2662331, 2654862, 2426206, 2589273]"
318,859,"[2862231, 2223364, 2839286, 144321, 2677381, 1206731, 977107, 977107, 977107, 1583938]"
323,887,"[2864957, 2852082, 2851886, 595863, 1652229, 2192010, 1641502, 749042, 749042, 14198]"
323,800,"[2862513, 2867876, 2603365, 2852879, 2807282, 2856439, 2099237, 2845806, 2241493, 2855122]"
328,853,"[2669023, 2625005, 2666324, 2774269, 2679481, 2797319, 2411510, 2651898, 2700922, 2853382]"
333,815,"[1812413, 2794100, 2793165, 2792115, 2806770, 1534486, 2796911, 2582417, 2852907, 839967]"
333,800,"[2858497, 2858497, 2858497, 2858497, 2858497, 2858497, 2324940, 2858497, 2841107, 2767754]"
338,888,"[2716039, 2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361, 2556302, 2732903]"
338,859,"[1909909, 1998464, 2567368, 2655777, 144321, 2067241, 2035256, 2173261, 2458473, 2527586]"
338,800,"[2813608, 2718986, 2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170]"
341,815,"[2673068, 2642316, 2722539, 1712614, 2636797, 1907418, 2720279, 2588695, 2705969, 2719400]"
345,853,"[1732718, 2499131, 2750489, 2676044, 2676153, 2090386, 1965497, 2126185, 2810912, 2426062]"
351,887,"[2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036, 2041846, 2759120]"
354,800,"[1755917, 2249445, 2249445, 2706334, 2727804, 2727804, 2727804, 2814436, 2767097, 2587040]"
357,362,"[1658559, 2833119, 2822617, 1653741, 1979138, 2511735, 595027, 2711089, 2710528, 2598159]"
358,362,"[2757104, 754949, 2762188, 2850873, 2191097, 2661643, 2872788, 2857555, 1516103, 1516103]"
358,806,"[2872820, 2775837, 2600609, 2396663, 1427511, 2772265, 2840559, 2840559, 2840559, 1791987]"
361,806,"[1998811, 2324487, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691]"
361,859,"[2059237, 2059237, 2059237, 2059237, 2059237, 2059237, 1998464, 2567368, 2655777, 144321]"
363,853,"[1818942, 2762930, 450693, 316969, 2650524, 2347728, 2448741, 2745497, 2181897, 2181897]"
365,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
365,815,"[2860001, 2860001, 2776717, 2826922, 1920485, 2197066, 2819721, 2858198, 554755, 265708]"
372,806,"[2854893, 2854893, 2554472, 2854893, 2854162, 2852397, 2695534, 2373722, 2234367, 2683973]"
373,887,"[2841346, 562741, 562741, 562741, 562741, 2807738, 562741, 2677927, 701583, 2166462]"
373,888,"[2513092, 2440946, 2515769, 2745670, 2713280, 2491215, 2591286, 2356659, 2381160, 2324923]"
373,800,"[2627117, 2852286, 2424932, 2424932, 2424932, 2408655, 2591097, 2818770, 2715696, 2321074]"
374,815,"[2760407, 2696180, 2741841, 2646998, 2343282, 2703413, 2470823, 2788370, 2254062, 2599689]"
374,853,"[1019895, 2260575, 2445298, 2027418, 2683566, 2077865, 898429, 2774269, 2679481, 2797319]"
376,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
381,815,"[2816482, 2827590, 2678741, 1342528, 2239713, 2400837, 1471037, 2095783, 2863431, 2863431]"
383,806,"[2609512, 2669819, 881956, 1615869, 1615869, 2822778, 2023792, 183316, 2730742, 2730742]"
393,806,"[1527090, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465]"
394,800,"[2839495, 2844002, 2676479, 2676479, 2676479, 2186854, 2552890, 2225906, 2225906, 2732769]"
400,888,"[2428793, 2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361, 2556302, 2732903]"
400,815,"[2811997, 2756724, 1933080, 2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999]"
402,853,"[2774269, 2679481, 2797319, 2411510, 2651898, 2700922, 2853382, 1190194, 2677510, 2259584]"
402,887,"[2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036, 2041846, 2759120]"
404,815,"[2652774, 2652774, 427780, 1968444, 2025306, 2388761, 2800850, 643422, 2845379, 497020]"
415,815,"[2092561, 2092561, 2868220, 2792952, 2188931, 2242395, 2396236, 2862409, 2188994, 2188901]"
415,806,"[2397499, 2866353, 2866353, 2867506, 2867635, 1583316, 2861471, 2041180, 2182482, 2600186]"
416,815,"[2869992, 2855938, 1924357, 2855938, 2855938, 2855938, 2855938, 2855938, 1929688, 2796911]"
421,888,"[2788209, 2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361, 2556302, 2732903]"
429,806,"[2807357, 2807357, 2807357, 2136856, 1421290, 2568654, 2343482, 2462426, 2495995, 2484357]"
431,806,"[2809690, 2870132, 2871626, 2741772, 2727965, 2871360, 1436465, 2870737, 2870844, 2803414]"
441,800,"[1179997, 1179997, 2185708, 2276096, 2726977, 2105670, 2860657, 2848298, 1516262, 1830813]"
441,888,"[2813293, 2813293, 2813293, 929058, 2254453, 2740665, 2627676, 2627699, 2530318, 1725410]"
441,806,"[2741608, 2741608, 2741608, 2030228, 2501586, 1871199, 1871199, 1798051, 2284115, 1730127]"
443,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
445,806,"[2106211, 1119741, 2859678, 2689316, 2862556, 1356781, 2773289, 2634978, 2339860, 2252211]"
445,815,"[2709927, 2709927, 2841285, 837781, 837781, 837781, 2693922, 120283, 2791573, 2693374]"
445,853,"[2807457, 2868680, 2572838, 2564432, 1487776, 2153131, 2842442, 2845842, 2821577, 2821306]"
446,815,"[200458, 2870886, 2230048, 2501634, 2611031, 2632808, 2405006, 2864848, 2347424, 2726025]"
446,806,"[2865998, 1649656, 961360, 2866016, 2866160, 2265375, 2516918, 2246912, 2665325, 26400]"
447,806,"[1978852, 2252022, 1106020, 2243975, 2726911, 1648224, 1648224, 1164966, 2510777, 2510777]"
449,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
451,811,"[2382847, 2051682, 2051682, 2382847, 2051682, 2051682, 2174066, 2017634, 2593367, 2051682]"
451,800,"[952098, 2717957, 1276929, 2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959]"
451,853,"[1079226, 2774269, 2679481, 2797319, 2411510, 2651898, 2700922, 2853382, 1190194, 2677510]"
457,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
463,888,"[2872650, 2712811, 2712811, 2712811, 2534632, 2551784, 2001350, 2474551, 2717562, 2820579]"
463,800,"[2813617, 2813617, 2813617, 2866292, 1384399, 1384399, 2252861, 2763175, 2763175, 1384399]"
466,888,"[2868833, 2866897, 2702831, 2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361]"
466,853,"[1942113, 2074401, 2076724, 766051, 2699269, 1038327, 2820218, 395556, 1416246, 1416246]"
474,806,"[2428403, 2428403, 1247408, 2768066, 2768126, 830657, 1786307, 2662615, 2265375, 2516918]"
477,811,"[2764838, 2626729, 2597250, 2746309, 2685325, 2783350, 2226048, 2164561, 2782336, 2262185]"
479,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
492,806,"[2707061, 2639614, 1754788, 2583255, 2544492, 2612406, 2373872, 2066392, 1623672, 1623672]"
492,815,"[2597428, 605373, 2090699, 1068643, 1068643, 2090699, 2710928, 2347424, 2726025, 2366751]"
499,806,"[2125723, 1810636, 1810636, 2860572, 2862313, 2265375, 2516918, 2246912, 2665325, 26400]"
499,815,"[2541764, 2541764, 2069752, 525610, 525610, 525610, 2175725, 2175725, 1926997, 1926997]"
499,888,"[2679065, 2429147, 2524181, 2429147, 2524181, 2524181, 2254453, 2740665, 2627676, 2627699]"
504,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
505,888,"[2126844, 2732022, 2463461, 2756702, 1705180, 2293640, 1872316, 2702962, 2044515, 2841893]"
508,806,"[2833254, 327189, 2563006, 2761240, 1925756, 1227453, 2424166, 2611704, 2628913, 2346191]"
509,853,"[2731105, 2756757, 1949504, 1949504, 2838730, 2823780, 2539327, 2812920, 200512, 2774269]"
509,815,"[2869155, 2869143, 2119061, 2040490, 2869092, 2869092, 2795992, 2353979, 2353979, 2781271]"
511,806,"[1641445, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465]"
512,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
513,887,"[2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036, 2041846, 2759120]"
513,806,"[2442867, 842337, 842337, 1109504, 1491027, 515375, 1611979, 1324883, 2265375, 2516918]"
514,859,"[2794810, 2567312, 2486889, 2567312, 2567312, 2567312, 2716648, 2567312, 2567312, 2335454]"
519,800,"[2753202, 2513207, 2513207, 2758704, 2758704, 2503257, 2699278, 1831685, 2594458, 2814436]"
520,888,"[2808064, 2797472, 2724422, 2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361]"
520,800,"[2866812, 2868330, 2866389, 2816630, 2813041, 2813041, 1778294, 2044940, 2822447, 2822447]"
523,362,"[1948757, 2624233, 2624233, 1774084, 1136253, 1136253, 2583737, 2816841, 592791, 2261566]"
526,881,"[2816864, 2652322, 2723765, 2751205, 2681250, 2757853, 2662331, 2654862, 2426206, 2589273]"
526,853,"[2774269, 2679481, 2797319, 2411510, 2651898, 2700922, 2853382, 1190194, 2677510, 2259584]"
526,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
539,800,"[2814436, 2745632, 2200739, 2200739, 1742452, 2814436, 2767097, 2587040, 2812516, 2002760]"
543,800,"[2699882, 2632136, 2631829, 2572175, 2625873, 2625873, 2704124, 2704124, 2442161, 2863073]"
546,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
550,887,"[468715, 468715, 2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036]"
550,815,"[1995944, 1995944, 2020617, 2020617, 2020617, 2832061, 2832061, 2753958, 1516684, 1516684]"
551,888,"[2866453, 2714647, 2687224, 2417754, 2803840, 2763299, 2645086, 2720559, 2687868, 2687224]"
551,800,"[2641135, 2303847, 2641135, 2641135, 2641135, 2061638, 2182268, 2641135, 2641135, 2641135]"
551,887,"[2609859, 1540530, 2300830, 2225562, 214332, 1933433, 1933433, 1984853, 1984853, 214332]"
551,806,"[2746720, 2543274, 2225573, 2710512, 2697154, 305624, 305624, 386493, 1122974, 2402003]"
552,806,"[874459, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465]"
552,887,"[2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957, 2108036, 2041846, 2759120]"
553,815,"[2859526, 2832940, 2859264, 2790819, 2674174, 2861817, 2861817, 2861087, 2862327, 2862327]"
559,811,"[2764838, 2356961, 2245534, 2764838, 2626729, 2597250, 2746309, 2685325, 2783350, 2226048]"
562,853,"[624529, 2781373, 2732835, 2013634, 2606565, 2204575, 2269833, 2750489, 2871719, 2715717]"
562,887,"[2829864, 2416400, 2416400, 2677927, 701583, 2166462, 1097530, 2634993, 2567963, 2864957]"
562,362,"[1714622, 341277, 2254939, 717837, 717837, 717837, 2853312, 2817794, 2743854, 2065605]"
568,806,"[2861161, 2676946, 2446985, 2700089, 2772417, 2616499, 2668253, 2483427, 2772417, 1897308]"
572,362,"[2598159, 2449079, 1618592, 2545960, 2761167, 333573, 2268784, 1704736, 2110788, 2836886]"
573,811,"[2764838, 2626729, 2597250, 2746309, 2685325, 2783350, 2226048, 2164561, 2782336, 2262185]"
573,362,"[1925751, 1346848, 2158397, 202107, 997867, 2794911, 725937, 2598159, 2449079, 1618592]"
575,888,"[2712819, 2712819, 2570479, 830673, 2832527, 2742759, 1299015, 1643828, 1725410, 2693361]"
576,806,"[2812411, 1053760, 1993593, 2730676, 2650116, 2650116, 2650116, 2496625, 2650116, 2650116]"
580,815,"[2852385, 2852385, 2136002, 1893010, 1893010, 2606674, 914477, 2086302, 921004, 390274]"
582,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
589,806,"[2698342, 2864277, 2707616, 2691275, 1225428, 2485371, 2408036, 1225679, 2622019, 2265375]"
593,800,"[2734665, 2860345, 2860345, 1598963, 2734665, 2868315, 2868155, 2853953, 2842944, 2541298]"
593,881,"[2444070, 2444070, 1797165, 2870533, 2860101, 2844735, 2804818, 2844735, 2064833, 2856760]"
